"Category","FireChart"
"2013-01",45
"2013-02",30
"2013-03",304
"2013-04",1085
"2013-05",241
"2013-06",6
"2013-07",0
"2013-08",0
"2013-09",1
"2013-10",1
"2013-11",12
"2013-12",23
"2014-01",21
"2014-02",30
"2014-03",189
"2014-04",1123
"2014-05",631
"2014-06",29
"2014-07",0
"2014-08",1
"2014-09",1
"2014-10",0
"2014-11",10
"2014-12",26
"2015-01",8
"2015-02",18
"2015-03",50
"2015-04",18
"2015-05",145
"2015-06",107
"2015-07",0
"2015-08",0
"2015-09",0
"2015-10",1
"2015-11",13
"2015-12",64
"2016-01",37
"2016-02",179
"2016-03",706
"2016-04",3863
"2016-05",296
"2016-06",5
"2016-07",0
"2016-08",0
"2016-09",1
"2016-10",6
"2016-11",38
"2016-12",59
"2017-01",29
"2017-02",75
"2017-03",150
"2017-04",1158
"2017-05",85
"2017-06",0
"2017-07",0
"2017-08",0
"2017-09",0
"2017-10",1
"2017-11",3
"2017-12",44
"2018-01",76
"2018-02",49
"2018-03",446
"2018-04",335
"2018-05",222
"2018-06",2
"2018-07",3
"2018-08",0
"2018-09",0
"2018-10",10
"2018-11",50
"2018-12",110
"2019-01",56
"2019-02",69
"2019-03",566
"2019-04",634
"2019-05",1767
"2019-06",77
"2019-07",0
"2019-08",1
"2019-09",0
"2019-10",5
"2019-11",21
"2019-12",23
"2020-01",17
"2020-02",69
"2020-03",71
"2020-04",435
"2020-05",17
"2020-06",2
"2020-07",0
"2020-08",0
"2020-09",0
"2020-10",13
"2020-11",82
"2020-12",306
"2021-01",336
"2021-02",258
"2021-03",1954
"2021-04",3883
"2021-05",29
"2021-06",2
"2021-07",0
"2021-08",0
"2021-09",2
"2021-10",1
"2021-11",50
"2021-12",22
"2022-01",15
"2022-02",52
"2022-03",335
"2022-04",831
"2022-05",44
"2022-06",27
"2022-07",0
"2022-08",1
"2022-09",0
"2022-10",3
"2022-11",48
"2022-12",172
"2023-01",268
"2023-02",255
"2023-03",517
"2023-04",1479
"2023-05",436
"2023-06",162
"2023-07",0
"2023-08",1
"2023-09",2
"2023-10",1
"2023-11",21
"2023-12",53
"2024-01",90
"2024-02",143
"2024-03",466
"2024-04",3463
"2024-05",934
"2024-06",29
"2024-07",0
"2024-08",0
"2024-09",1
"2024-10",3
"2024-11",15
"2024-12",72
"2025-01",149
"2025-02",187
"2025-03",621
"2025-04",939